game,method,score
Assault,MQ(h=10),"Float32[0.60471207, 304.9494, 317.28452, 339.47177, 194.85454, 486.9418, 718.6838, 783.8174, 910.79047, 957.8028, 1296.375, 1278.9518, 3078.276, 1160.0, 2217.5, 3313.0264, 2749.4883, 5456.5415, 2298.074, 8014.1665, 2476.38, 1945.9231, 4713.4644, 5781.6924, 7102.2383, 8355.25, 1932.5652, 6996.5713, 4877.967, 9492.111, 9135.737, 8739.35, 4219.074, 3608.5813, 6694.9165, 5115.9, 9216.25, 10374.5, 9028.1, 9710.685, 5676.6553, 5778.129, 6992.0415, 7408.864, 8067.1665, 10618.625, 4288.722, 5296.276, 9561.111, 12314.546, 10709.714, 7658.4443, 11234.929, 5516.467, 7857.4346, 8763.05, 7837.0, 7975.7144, 10233.833, 6622.3706, 11075.333, 10893.889, 11850.412, 6307.48, 8678.0, 7639.0, 8916.667, 8710.9, 4534.6855, 7825.7827, 8054.24, 15100.2, 11229.417, 8802.1, 6911.3706, 8996.762, 13245.357, 7167.375, 10171.8125, 9533.444, 11030.059, 10538.471, 9822.526, 11290.3125, 6540.393, 12061.066, 13417.0, 12256.0, 16692.8, 9434.55, 3839.2856, 7002.4, 13472.714, 12827.066, 12801.8, 9597.167, 9815.895, 13633.75, 14824.167, 13596.857, 14140.363, 11152.412, 6776.222, 13122.934, 15296.0, 13036.6, 8713.45, 10003.95, 7039.375, 7527.731, 15200.091, 14471.1, 4823.5405, 13189.625, 15623.728, 10303.5, 12475.934, 4079.4883, 6688.759, 6973.1035, 8653.913, 8957.818, 6499.241, 11493.632, 11077.526, 8122.8096, 12229.357, 10326.177, 11356.667, 13948.714, 13536.625, 10740.1, 11502.833, 5642.1816, 10191.0, 19559.0, 10875.765, 12615.4, 15009.0, 7769.25, 7360.077, 12077.214, 12887.385, 9558.685, 10723.0, 16098.786, 6075.3706, 8442.869, 11980.4375, 10946.857, 10357.8, 15565.444, 7023.0, 7557.815, 12821.615, 13811.272, 13716.429, 15947.583, 16238.692, 9403.409, 9275.954, 16423.0, 8611.521, 7976.1113, 14042.267, 8958.6875, 15586.182, 13678.462, 11906.571, 12415.667, 14877.571, 12826.0, 8931.941, 11483.533, 8621.667, 7827.148, 9119.7, 7692.269, 11672.077, 11700.737, 13133.294, 8179.0386, 10914.294, 10789.556, 10833.947, 12301.286, 13527.0, 12286.866, 12448.053, 14537.667, 10504.421, 15857.556, 14226.917, 15516.071, 13008.0625, 13034.625, 6359.7, 13775.0, 8939.591, 8307.0]"
Assault,MQ(h=10),"Float32[0.0, 291.93066, 260.20074, 348.65503, 460.69843, 635.5437, 653.5462, 801.3495, 884.64764, 786.3771, 1596.9, 1123.0227, 2130.8958, 1257.5862, 4562.769, 3522.8484, 1727.9524, 2835.4146, 3437.4517, 4102.933, 3707.7058, 5095.8887, 6366.696, 6282.0, 5694.115, 3426.8, 5588.5713, 5537.724, 6598.0, 3667.5833, 7925.5, 4359.0557, 3568.6135, 8555.277, 7843.409, 7976.8096, 8161.3335, 6774.56, 9249.353, 6271.6, 8920.263, 10447.846, 9957.5, 4037.3428, 5860.4136, 4839.6772, 9168.2, 6689.24, 9196.211, 5765.484, 8083.826, 6012.52, 13245.286, 7943.048, 11561.125, 7960.65, 9089.05, 3421.054, 8109.5415, 8047.737, 10430.3125, 6141.5557, 11495.333, 12662.071, 9215.0, 8339.667, 9964.0625, 12565.0, 6718.16, 13219.467, 3537.8445, 13197.1, 12055.417, 12965.077, 5977.3335, 11829.177, 14247.9, 10718.111, 3497.6445, 9201.85, 11692.6, 9428.842, 9374.632, 11186.125, 9618.842, 9303.19, 9960.685, 9544.95, 8808.667, 14179.625, 7168.148, 11177.833, 14036.214, 9338.632, 4107.5, 9813.556, 10226.429, 10154.053, 9540.909, 10306.632, 13818.071, 12545.077, 10124.3, 7282.593, 14842.571, 14554.0, 11773.6875, 15443.833, 7953.2607, 10568.765, 12557.833, 9847.75, 8093.32, 11931.8, 8121.591, 8589.637, 5698.364, 2621.4827, 8665.182, 10013.211, 10126.15, 5251.5884, 18317.0, 10392.368, 11289.111, 4524.8647, 6074.9688, 13330.154, 14184.777, 10940.056, 10707.0, 14436.25, 4605.6313, 12014.556, 10318.762, 8583.608, 10833.0, 8039.2173, 9512.0, 10060.19, 13962.5, 12442.546, 13311.429, 13237.23, 10187.611, 5545.057, 10137.315, 9896.0, 11163.571, 11900.429, 9024.5, 11461.071, 11478.883, 5619.3823, 11500.65, 10804.625, 10692.714, 11206.053, 10714.685, 11252.1875, 10335.096, 8426.792, 13189.75, 11285.818, 12778.4, 12318.4375, 13465.066, 7830.7393, 12413.823, 14751.083, 9977.5, 13628.4, 10053.333, 11917.294, 7542.885, 9653.315, 12182.929, 13437.546, 13476.583, 15253.77, 10371.05, 7673.0, 12054.25, 4250.976, 12349.134, 13164.714, 9513.952, 10910.117, 12193.556, 9979.857, 13873.2, 8493.15, 13776.0, 8166.75, 7925.3335, 12710.1875, 8299.25, 10671.048, 11317.417, 12952.934]"
Assault,MQ(h=10),"Float32[0.16578947, 322.93134, 280.49442, 231.29578, 555.9449, 670.7191, 694.13336, 708.18335, 897.1791, 600.85614, 838.3475, 2016.4524, 2341.1396, 1149.7205, 935.7075, 3038.4722, 2166.4814, 2716.568, 3961.2, 2830.65, 5057.591, 4831.4443, 1536.5231, 2726.608, 2956.186, 2988.4878, 6097.231, 8020.0527, 4820.3335, 8409.429, 6927.9565, 4064.742, 4470.909, 2983.6738, 5250.467, 5894.963, 3788.7222, 7810.3, 9181.368, 8161.0454, 5674.5713, 4230.4053, 1821.6493, 5191.069, 5387.6206, 1677.0405, 7975.5, 6542.654, 11054.529, 8437.75, 3542.1, 4822.0, 5603.4375, 4087.95, 4969.353, 10642.529, 9325.55, 6760.593, 4384.1313, 4459.5405, 11113.667, 9887.8, 8766.647, 6448.276, 12044.0, 9816.685, 6252.5557, 7093.28, 13181.714, 7891.05, 5815.48, 3616.0232, 10077.0, 10464.737, 3774.5227, 8146.2, 12839.846, 9161.368, 9357.5, 12088.385, 7765.6816, 12773.083, 15835.363, 7256.625, 10723.65, 9138.35, 8564.833, 6443.724, 7282.96, 6707.077, 8091.92, 13096.23, 14091.6, 14409.363, 7146.4614, 7303.52, 4670.7144, 10177.728, 9295.762, 9674.706, 7493.346, 9503.546, 9879.277, 12567.818, 13022.333, 9325.591, 5719.067, 8116.0, 11617.117, 10080.5, 11656.4375, 9367.643, 14128.0, 14393.0, 5160.0557, 9730.947, 11788.823, 12131.235, 7383.5386, 9235.591, 10400.647, 10415.941, 8355.458, 11283.5, 8221.904, 13499.917, 10748.833, 17355.0, 10430.368, 10131.059, 4835.4863, 11186.667, 13153.643, 5733.606, 15927.363, 7406.222, 8801.087, 5726.625, 12356.0, 4359.8096, 7867.5, 13002.3, 7834.5415, 9682.9, 9467.863, 12787.75, 12012.0, 11360.333, 12587.134, 10495.647, 13791.182, 15363.333, 10361.632, 9954.444, 10250.105, 11180.357, 12010.786, 12457.3, 11364.223, 7505.4165, 12231.059, 9920.15, 14315.154, 13757.134, 8576.228, 8470.583, 6675.6333, 10630.0, 9827.529, 8115.28, 12548.929, 7699.9614, 12522.333, 10038.904, 11245.5, 10114.25, 17346.455, 9018.772, 10455.3, 13629.2, 13883.5, 11527.0, 9007.087, 12017.471, 9122.682, 9971.863, 7263.2856, 7004.9644, 9336.333, 10524.0, 11257.733, 10121.421, 9439.286, 13769.385, 10456.5, 13115.765, 11762.8125, 6007.375, 13667.3, 9713.526]"
Assault,MQ(h=1),"Float32[347.54132, 308.55884, 444.26215, 722.35925, 922.04065, 1102.2556, 1843.1719, 2528.3408, 2616.2856, 2163.6833, 3832.0, 6017.24, 4681.515, 3785.4, 3332.932, 4563.5, 3981.5264, 4435.5293, 3748.8684, 3069.2449, 7087.04, 9139.777, 6642.88, 7578.24, 6073.1724, 9477.263, 5452.0312, 4341.8, 14598.272, 11887.167, 4047.8438, 7172.5835, 10690.444, 4826.0557, 8484.048, 10396.25, 9108.25, 8000.2607, 7651.2383, 6984.2383, 3771.6316, 8503.19, 11775.706, 4922.647, 10974.823, 8582.619, 5922.8887, 14587.0, 8104.5454, 8337.818, 10613.474, 9350.682, 8816.05, 6100.931, 4273.2104, 10948.353, 8780.477, 9894.117, 8626.177, 4609.3237, 6053.4, 3205.2917, 9897.5, 15110.454, 9622.786, 9545.85, 10436.223, 9736.4, 8229.739, 6548.1377, 11100.467, 13193.923, 7349.44, 15220.5, 10706.117, 7294.091, 6474.724, 11445.643, 11774.866, 11536.3125, 8256.5, 8283.048, 7809.4287, 8808.158, 9871.685, 6963.357, 7901.75, 11312.294, 7641.12, 5182.6772, 10136.158, 5287.091, 8001.875, 8431.348, 9947.0, 8978.682, 8617.042, 12472.066, 11264.75, 15714.818, 13348.625, 9379.0, 9078.117, 18135.084, 10471.947, 11953.167, 6996.1787, 9284.954, 9583.667, 10641.889, 10567.1, 11589.765, 14436.2, 7084.5713, 13128.929, 10887.4375, 8388.105, 9914.4, 14750.111, 12231.0, 10474.177, 11812.462, 11738.77, 7632.731, 16976.1, 13042.333, 11844.611, 9037.591, 11592.95, 9567.286, 6416.613, 12020.934, 10884.05, 12542.866, 11429.0, 9626.4, 7321.357, 12777.0, 14702.917, 13538.875, 11320.267, 3037.5, 13985.571, 14049.77, 10269.777, 10048.611, 12947.143, 6661.4644, 14806.333, 8671.48, 14688.462, 6044.2, 9639.9, 12612.588, 13336.857, 11125.556, 7539.4, 9704.95, 10698.95, 10239.158, 16119.833, 6737.591, 11716.857, 9215.435, 6149.4375, 10723.777, 8536.2, 7395.407, 9652.934, 13818.833, 5473.3716, 5520.067, 5898.7666, 6439.852, 10273.6875, 7708.88, 9852.096, 9722.211, 10669.381, 9216.228, 9432.305, 8611.0, 8583.0, 11717.071, 9589.765, 8384.454, 10240.2, 17776.154, 11535.737, 13165.583, 15943.23, 8541.315, 13200.875, 10103.158, 10694.111, 6495.4546, 11056.277, 13643.934, 12035.0, 13645.833]"
Assault,MQ(h=1),"Float32[328.8071, 364.12964, 389.00482, 759.82996, 819.2308, 1250.8916, 1248.1235, 2767.641, 1626.1733, 1791.7397, 3281.7896, 3163.1765, 3976.7942, 6011.0415, 4487.4243, 2593.2222, 1436.762, 5954.0, 7374.1304, 3515.9736, 3300.65, 4414.0557, 7043.5, 2721.1372, 2816.451, 2865.7778, 7239.0835, 11206.417, 4874.697, 5573.4644, 10430.706, 2095.8193, 7409.35, 2428.1614, 12428.357, 8896.353, 13723.154, 9630.353, 4320.4614, 10592.923, 9156.315, 5569.75, 8044.5293, 6628.3335, 13432.286, 2441.2258, 6232.1113, 13479.071, 6249.769, 4309.3887, 3955.762, 7705.55, 11371.294, 3501.561, 12365.134, 8184.1904, 2078.678, 11690.647, 9396.211, 8890.2, 15496.1, 5656.2188, 6875.52, 12518.643, 9700.685, 10307.117, 14967.637, 12802.5, 6728.0713, 9211.477, 19132.334, 10105.9, 19418.2, 8236.223, 7497.48, 9259.211, 13715.0, 14688.5, 11631.556, 9828.875, 13473.167, 17256.2, 5646.4443, 10370.158, 8898.429, 11247.875, 9395.0, 8291.286, 11796.75, 13353.333, 11569.615, 10211.611, 13691.143, 12196.77, 9090.952, 10815.941, 6813.7407, 5148.75, 14984.77, 11139.353, 10104.117, 10035.667, 5511.5757, 13581.5, 14682.714, 7543.2, 9680.105, 10431.1875, 5140.2812, 10524.267, 7990.773, 7105.5386, 13910.538, 12577.75, 7884.2383, 6484.567, 13131.0, 13171.615, 9910.8125, 10774.389, 7200.185, 12932.733, 6702.276, 10775.947, 11416.667, 11002.529, 10495.053, 13525.857, 8861.65, 12160.934, 10314.263, 11115.667, 11092.066, 10273.889, 10050.81, 6388.3213, 8616.125, 11138.55, 14496.462, 10596.0, 10570.214, 12453.143, 11698.294, 13562.714, 14665.272, 8711.869, 10744.263, 9961.6875, 11140.833, 10586.611, 10888.474, 7925.72, 10898.526, 10579.667, 10487.95, 11362.667, 15494.538, 11137.0, 9699.546, 7965.32, 10592.1875, 18509.182, 12027.866, 12172.2, 14490.375, 11403.833, 12285.883, 11399.2, 11635.0, 8063.7915, 7071.846, 7884.4165, 10022.619, 5886.645, 9169.8, 12225.833, 11643.0, 10180.462, 10865.111, 7248.931, 10444.0, 11270.2, 8141.75, 7290.1113, 10151.9, 10277.2, 13403.077, 8068.64, 12332.462, 9156.05, 12083.714, 4684.45, 7265.793, 11479.0, 11822.556, 6489.516, 4684.0264, 14328.154, 6664.483, 10704.211]"
Assault,MQ(h=1),"Float32[380.60092, 283.5, 405.9673, 685.3721, 896.54865, 1238.4482, 1799.5, 1070.0824, 2216.898, 3009.5, 4833.407, 1310.6145, 1783.6666, 3258.1282, 1521.7089, 7542.4736, 7667.2383, 1557.407, 2956.3958, 7468.2856, 2948.0, 5368.3335, 5822.1724, 7799.591, 4132.4287, 8312.556, 7862.375, 12082.429, 5532.1934, 6623.6665, 7305.0, 7550.421, 8471.315, 7400.875, 12778.214, 8092.45, 4010.7437, 11816.23, 11026.4, 6276.593, 11569.6875, 4098.5137, 10232.723, 8030.7, 9623.389, 7829.4165, 10172.381, 9653.875, 11529.706, 6651.517, 11368.1875, 8365.909, 6399.2964, 12096.0, 4745.1177, 12281.533, 5955.3213, 10803.333, 6433.857, 9873.15, 12684.6, 6971.316, 15356.083, 11762.8125, 13463.929, 9649.474, 10497.389, 10552.385, 15335.538, 4855.294, 16757.8, 5080.4707, 4646.222, 4699.7837, 3103.4082, 12005.2, 5955.567, 13616.071, 9905.5, 9997.579, 4821.1562, 6359.5864, 12232.846, 8777.789, 10074.0, 9076.087, 10483.474, 9134.45, 4447.625, 9800.0, 10837.941, 14289.134, 11098.588, 9658.857, 5898.0347, 12052.934, 12124.75, 13629.4, 13906.538, 9118.158, 8664.546, 8355.046, 12424.143, 9415.238, 3768.568, 11989.5, 13339.923, 10509.632, 4633.079, 13731.786, 9787.0, 8556.708, 13030.357, 7558.174, 8854.05, 10965.235, 7630.154, 8718.454, 8243.708, 14251.462, 9403.723, 12000.3125, 9208.363, 9775.65, 5722.6875, 10264.833, 8857.348, 7022.5713, 9948.315, 10409.333, 8205.608, 11793.883, 9337.477, 6105.484, 9657.228, 15450.7, 9120.5, 10784.866, 10648.2, 12926.533, 11864.583, 9274.75, 14729.2, 17978.5, 11124.0625, 11445.158, 10458.0, 7040.222, 8296.228, 6994.577, 8079.375, 14845.23, 6471.68, 15412.333, 12285.733, 8227.81, 11494.583, 8932.632, 9092.869, 10005.117, 11126.75, 9767.091, 7726.28, 14834.462, 13131.375, 8490.826, 9639.619, 6804.2666, 5506.6855, 9284.05, 13023.0625, 11854.929, 7266.72, 9260.368, 12950.5, 9962.952, 9255.261, 11963.6, 12780.533, 8545.667, 10755.833, 12572.714, 12481.0, 12052.444, 11854.75, 13808.7, 13995.786, 10600.55, 14232.615, 10008.143, 7173.6523, 11087.833, 14190.0, 11267.842, 9181.059, 6127.25, 16184.0, 14998.6, 11420.2, 9536.65]"
Asterix,MQ(h=10),"Float32[184.375, 217.6856, 425.53192, 400.28735, 393.65482, 688.871, 760.9929, 863.1579, 1125.3885, 1558.397, 2167.0732, 1840.7693, 2865.9795, 3314.1025, 3072.7273, 3453.5293, 3152.3364, 3119.9153, 4836.5674, 4551.724, 5625.758, 5178.9854, 6211.594, 4957.7383, 5716.0, 6170.0, 7400.0, 6514.4927, 6463.768, 8027.0493, 5614.045, 8327.869, 6559.4937, 7799.2188, 7962.319, 7322.3687, 8726.516, 6388.372, 7829.1045, 12982.353, 11268.104, 10999.193, 16381.111, 14374.444, 18134.0, 12236.029, 24010.87, 11246.269, 20530.77, 25088.541, 21519.81, 24603.773, 31495.455, 23196.227, 25261.54, 34491.465, 34603.57, 12306.081, 27645.098, 32832.293, 40348.81, 44328.207, 37939.285, 27747.059, 52830.26, 29294.117, 49556.25, 70610.94, 53861.54, 56141.668, 71910.61, 84368.97, 38971.05, 55493.75, 60304.055, 52800.0, 77950.0, 69295.836, 76412.91, 101770.37, 81340.32, 82875.805, 62420.27, 99264.29, 95558.62, 82839.39, 95194.83, 122630.766, 77941.43, 121868.516, 19267.857, 150754.17, 112106.664, 116226.664, 73761.54, 99900.0, 199352.38, 148206.0, 127123.08, 188371.73, 122261.664, 65302.438, 283194.44, 197850.0, 226266.67, 275744.44, 146392.6, 310367.66, 254120.0, 158616.67, 159772.22, 169861.11, 87883.336, 162287.5, 235200.0, 206732.61, 187378.27, 329861.12, 121592.42, 274220.0, 302627.78, 277480.56, 224718.19, 312246.88, 294776.3, 194881.25, 153609.27, 106142.42, 179513.47, 351373.53, 132287.5, 158444.64, 168701.86, 380593.34, 348405.88, 317567.66, 356390.62, 233761.36, 338741.2, 239492.86, 163755.56, 294677.78, 310816.66, 307950.0, 231080.44, 195331.48, 144098.44, 138009.72, 316070.6, 281554.75, 276157.9, 375762.5, 354661.75, 402200.0, 402062.5, 222587.5, 270602.62, 268673.7, 367462.5, 212936.0, 314263.16, 335388.25, 304405.0, 411136.66, 388221.88, 107277.94, 238852.08, 353970.6, 402137.5, 291442.84, 272785.0, 396109.38, 282432.5, 161791.08, 410480.0, 285133.34, 129947.14, 415340.0, 96075.0, 281907.9, 171205.36, 325197.22, 482642.3, 346594.44, 322772.22, 318961.12, 317727.78, 411353.12, 375171.88, 424416.66, 195753.84, 313639.47, 378338.25, 221575.0, 481819.22, 345766.66, 480596.44, 428420.0, 420820.0, 311417.5]"
Asterix,MQ(h=10),"Float32[209.52971, 131.83673, 185.64357, 390.86758, 400.60242, 592.37286, 608.6835, 753.2143, 874.37274, 1056.8075, 950.4329, 1862.3188, 2492.3914, 2329.2036, 2811.1702, 2829.9065, 3355.9524, 3084.6155, 3779.6052, 3727.957, 2886.9749, 3977.7173, 4814.7886, 5846.0938, 6036.0654, 6807.0176, 6263.636, 5215.7534, 7052.5864, 6130.986, 6479.3335, 6166.2163, 7864.2856, 8370.0, 6022.561, 5805.357, 6921.0146, 7144.6665, 6792.5, 9272.308, 9253.175, 7181.4814, 7417.284, 9296.479, 10804.167, 11171.774, 12128.333, 12586.44, 9488.0, 13136.207, 15001.64, 15656.896, 11536.429, 16541.072, 25912.5, 21974.074, 22217.646, 20839.475, 27227.55, 24336.275, 20802.543, 33223.332, 19720.967, 36124.418, 30942.857, 33161.11, 26143.965, 34076.598, 32945.555, 53101.35, 17176.352, 48020.0, 42060.227, 62337.145, 56889.188, 62274.324, 73875.805, 68328.79, 74809.68, 66635.71, 86203.57, 54101.19, 61591.89, 62333.824, 53751.22, 63310.812, 46233.332, 77850.0, 99664.29, 115384.62, 95096.77, 79702.94, 142238.0, 81632.81, 99553.23, 101281.25, 71584.21, 159754.34, 100095.164, 164936.95, 66410.0, 185538.64, 162054.17, 67358.336, 192300.0, 26436.428, 194384.78, 234009.53, 105389.39, 262613.88, 234550.0, 251565.0, 156520.38, 217261.36, 184772.0, 312205.88, 144136.53, 201383.33, 139762.06, 250860.0, 224735.72, 285911.12, 314552.94, 249566.67, 207954.34, 210452.17, 330643.75, 287355.56, 269807.9, 228161.9, 279460.53, 348503.34, 296511.12, 261142.5, 258760.53, 261400.0, 229356.81, 213525.0, 227379.55, 370262.5, 310505.56, 254640.47, 303650.0, 129042.65, 354712.5, 303361.75, 207781.25, 379134.38, 256814.28, 266260.0, 364829.4, 196686.53, 306407.9, 267531.6, 188839.58, 308513.88, 298684.22, 342365.62, 148842.86, 374240.0, 229583.33, 316563.88, 303825.0, 215120.83, 283064.28, 238908.7, 231586.36, 389960.72, 188453.58, 193623.08, 285327.5, 397206.66, 342703.12, 339400.0, 343105.88, 242475.0, 359390.62, 422964.28, 364861.75, 256742.11, 114568.75, 273226.2, 404806.25, 314700.0, 239178.27, 315989.47, 381790.62, 303765.78, 362226.47, 313778.94, 361526.47, 436307.16, 320726.3, 411028.12, 384668.75, 445076.66, 376115.62, 232330.44, 383734.38, 144150.0]"
Asterix,MQ(h=10),"Float32[139.32927, 253.16205, 143.42105, 210.5, 364.26913, 455.14905, 686.4686, 877.15515, 977.88947, 1644.5652, 1825.7042, 1780.7433, 2512.8572, 2713.6365, 2862.371, 3035.7144, 3465.8538, 3006.1982, 3570.8333, 3526.818, 3607.6191, 4603.846, 4585.0, 4651.5957, 3981.5127, 6520.4546, 6781.9277, 7204.7944, 6515.341, 7836.6665, 6991.3794, 7512.0254, 8265.973, 7858.4414, 7422.6665, 8889.394, 8520.667, 8562.329, 10455.737, 8860.135, 11943.333, 8413.125, 10572.535, 14281.746, 11620.423, 27522.223, 24369.81, 28560.639, 27530.393, 33513.043, 28143.518, 12924.074, 25849.123, 18332.191, 38372.824, 30116.346, 36633.652, 27892.373, 60277.777, 51509.758, 67405.555, 29769.643, 37406.523, 64290.91, 51869.766, 88801.85, 70412.86, 90886.2, 99390.74, 88615.0, 79937.5, 82835.94, 94338.336, 116723.08, 123868.0, 64290.54, 120044.234, 130133.336, 126894.0, 127875.0, 152508.7, 88134.85, 122351.92, 83386.11, 140005.77, 148465.39, 133251.78, 139257.4, 79077.02, 130835.71, 225423.81, 253231.58, 246454.77, 148007.14, 182058.0, 251242.5, 217788.64, 248122.5, 319231.25, 301776.47, 102025.0, 193498.0, 173615.39, 192342.0, 198994.0, 279742.1, 256902.38, 100963.516, 333491.66, 244997.62, 266377.5, 205019.56, 250169.05, 182857.4, 256369.05, 149832.14, 241090.47, 195032.61, 241640.0, 342991.2, 201117.31, 188088.89, 256850.0, 360056.25, 379506.66, 213085.42, 363725.0, 216625.0, 387765.62, 259673.81, 360070.6, 147836.67, 289042.1, 413780.0, 307513.16, 484057.7, 255257.14, 386162.5, 274471.06, 236404.55, 429014.28, 246145.23, 280757.9, 386968.75, 428210.0, 343847.22, 416267.84, 339014.72, 484626.94, 296505.25, 408810.72, 480214.28, 255371.42, 352787.5, 319407.9, 278057.16, 444056.66, 458770.0, 452375.0, 342238.25, 449096.44, 289586.38, 417478.12, 542804.2, 276347.5, 458927.28, 683515.0, 199168.75, 486795.47, 585591.7, 359230.78, 558408.3, 232283.33, 584787.5, 462500.0, 373854.16, 341258.34, 65145.832, 119555.555, 260179.17, 271185.72, 68900.0, 499833.34, 222275.0, 199312.5, 92960.0, 169136.84, 200034.1, 559466.7, 414243.75, 182211.77, 283607.16, 182200.0, 267934.62, 264858.34, 171740.9, 237540.9, 604025.0, 132833.33, 306357.7]"
Asterix,MQ(h=1),"Float32[64.599236, 276.54495, 254.86258, 665.72327, 833.3955, 1231.016, 2002.7028, 2382.377, 2625.7427, 2654.2056, 2790.6543, 2876.699, 2946.5686, 3020.8333, 3445.7896, 5192.373, 4782.5, 5369.853, 6959.434, 6592.1055, 5460.3657, 7380.8335, 6954.839, 7214.4927, 6491.0957, 4829.4736, 8320.492, 10559.615, 8775.0, 10457.018, 11431.481, 10048.529, 8107.927, 14071.187, 20034.0, 25648.838, 13111.765, 27922.223, 14400.77, 32624.39, 35701.164, 34568.75, 33197.727, 36855.13, 28406.73, 42946.152, 39143.023, 51320.832, 31545.834, 46856.25, 45306.098, 43577.906, 53412.5, 69146.97, 82600.0, 50160.0, 71088.234, 69442.42, 90570.37, 66902.78, 75619.12, 53752.562, 95072.22, 79589.06, 50486.906, 122941.664, 100062.07, 56707.5, 77850.0, 113194.234, 107157.14, 90066.18, 96273.336, 100635.94, 87001.47, 153468.75, 146145.83, 63454.285, 110426.56, 207459.53, 170714.0, 118062.91, 120948.27, 140788.89, 260702.78, 230532.5, 167326.0, 115412.96, 66810.71, 211270.45, 104738.89, 148957.14, 297284.38, 235221.42, 229035.72, 216357.5, 159062.0, 221011.36, 200475.0, 191489.12, 258326.31, 200376.19, 227456.81, 265210.0, 212493.75, 209343.75, 330640.0, 250883.33, 331961.75, 242538.1, 296516.66, 292097.06, 260245.0, 192891.67, 335168.75, 256965.8, 366815.62, 221054.17, 300321.06, 318716.66, 253466.67, 263739.47, 328450.0, 190196.0, 272536.84, 296600.0, 331370.0, 194940.39, 246268.19, 377634.38, 74535.71, 205897.92, 342238.25, 301055.25, 272190.0, 357768.75, 350896.88, 336708.34, 301016.66, 220258.7, 339878.12, 225889.12, 368693.75, 298088.88, 154006.45, 308539.47, 367463.34, 391643.34, 402539.28, 261842.86, 207798.14, 84921.8, 388646.66, 230684.1, 310238.25, 376160.0, 298572.5, 328718.75, 315267.66, 321411.75, 344434.38, 442689.28, 351235.28, 166718.75, 247382.61, 368371.88, 283316.66, 285965.78, 190608.7, 221300.0, 395737.5, 393906.66, 372721.44, 191985.72, 307980.0, 393281.25, 341770.6, 302752.5, 391825.0, 364812.5, 439660.72, 442782.16, 367934.38, 389083.34, 410180.0, 337844.44, 448428.56, 442756.66, 498865.38, 343716.66, 438243.34, 329276.47, 414006.66, 284560.0, 465267.84, 347397.06, 453580.0, 166368.0, 447561.53, 225162.5]"
